,commenter,comments,publishedAt,totalReplyCount
0,eric li,*itune iTunes iTunes iTunes iTunes iTunes iTunes iTunes iTunes iTunes*,2023-10-22T06:42:07Z,0
1,𝖡𝖺𝗋𝖻𝖺𝗋𝖺 𝖬𝖺𝗀𝖺𝗅𝗅𝖺𝗇𝖾𝗌,Yo creo que Hackearon la cuenta de Youtube de Taylor jajajajjajaja,2023-10-22T05:24:44Z,0
2,Power m,🎉🎉,2023-10-22T02:17:47Z,0
3,Cami Ayala,"Honey, what is this? I love you but...",2023-10-22T01:56:56Z,0
4,reputation swifties aldc,Wish I went to the concert😭😢😢😭😢😭😢😭😢😭😢😭😢😭😩😬it’s okay though everyone should be thankful that we have tay tay in our life🫶🏻💗🪩⚡️,2023-10-22T01:50:28Z,0
5,si,Lover remix vibes,2023-10-22T01:47:43Z,0
6,Eugene Narcia Music ♪,Soy el único que le gustó ese remix xd? :( Osea si está de la lover remix pero si me gusta y me tranquiliza no sé porque xd,2023-10-22T01:11:14Z,0
7,riri,Cruel summer isn’t cruel anymore ✨it’s kewl✨ that’s when I tell him—,2023-10-22T01:04:02Z,0
8,Pablo Guerra,Honestly I don't like karma remix and lover remix there are already 3 I was waiting for the video :) but I love you mijiji,2023-10-22T00:50:52Z,0
9,GigisWorld 19,Yass Taylor,2023-10-22T00:38:58Z,0
10,0MissElizabeth0,Took a look at your Merch store.  $72 for a Hoodie???  And it's the same price whether you order an extra Small or an XXXL.. Make THAT make sense.,2023-10-21T23:37:27Z,0
11,0MissElizabeth0,Took a look at your Merch store.  $72 for a Hoodie???  And it's the same price whether you order an extra Small or an XXXL.. Make THAT make sense.,2023-10-21T23:37:27Z,0
12,0MissElizabeth0,Took a look at your Merch store.  $72 for a Hoodie???  And it's the same price whether you order an extra Small or an XXXL.. Make THAT make sense.,2023-10-21T23:37:27Z,0
13,soya_manoban,Le quedo de la lover remix,2023-10-21T22:35:51Z,0
14,MohammadReza Rashidi,"Taylor do you help me, please? I love you!",2023-10-21T21:13:19Z,0
15,Toy Desk,This absolutely SLAYS❤#swiftie,2023-10-21T21:11:52Z,0
16,Anna Loli,eu te amo Taylor.. mas..,2023-10-21T20:57:53Z,0
17,Jaffet Harkavid,Si hablas español agárrate fuerte 😂,2023-10-21T20:50:13Z,0
18,When,Wt U ❤,2023-10-21T20:36:04Z,0
19,Rolf Straubhaar,Who left Taylor in the studio alone😭,2023-10-21T20:33:31Z,0
20,Teribor,LP GIOBBI THE BEST.,2023-10-21T20:25:13Z,0
21,happy.swiftie,Also happy birthday midnights!!,2023-10-21T19:37:39Z,0
22,happy.swiftie,This came out on my besties bday. I got her tickets to your movie and I'm sure this only made her day better! Love you Taylor! xoxo,2023-10-21T19:36:26Z,0
23,Catherine ,This song is so goofy,2023-10-21T19:28:07Z,0
24,Regina Carla Amaral,Linda 🩵💜😊✨,2023-10-21T19:16:09Z,0
25,danita 🍂🕯️,"Te amo reyna, por ti lo escucho",2023-10-21T19:13:35Z,0
26,😺cat,Yo fingiendo que me gusta el remix😢,2023-10-21T19:06:59Z,0
27,Lexi Jay,"I love swiftober, its so amazing",2023-10-21T18:54:49Z,0
28,Mayyy,taylor ily BUT GIRL WHAT IS THIS,2023-10-21T18:31:54Z,0
29,DogsOnFrogs,It’s a slay summer now,2023-10-21T18:14:01Z,0
30,lfitzgerald0624,Addicted to this,2023-10-21T18:12:04Z,0
31,_yasnary.x.JukiLiz_,❤,2023-10-21T17:59:33Z,0
32,IcyPanda #stopanimaltesting,YESSS,2023-10-21T17:58:58Z,0
33,Obi wan Kenobi,I LOVE THIS AND THE LIVE VERSION  I LOVVVE UU,2023-10-21T17:39:55Z,0
34,Диана Андрух,"Taylor, my ears are bleeding💔
I LOVE YOU BUT PLEASE UNRELEASE IT. THIS IS SO BAD",2023-10-21T17:39:36Z,0
35,DANIIISISIS =P,I LOVE TAYLOR IS  BEAUTIFUL AND INCREDIBLE I want to be Taylor in life,2023-10-21T17:36:36Z,0
36,haileyyy,AHHH I LOVE U!!! IM SO FREAKING SAD I COULDNY GO TO UR CONCERTTTYY,2023-10-21T17:33:05Z,0
37,Christian Andrew Seijati,Asik lagunya mba,2023-10-21T16:34:04Z,0
38,NS_swifti,Thank you Taylor for make it 😁🙂,2023-10-21T16:31:39Z,0
39,Regis Nunez,Nossa agora sim ❤❤❤❤❤❤,2023-10-21T16:25:32Z,0
40,Толик,"I love you, baby",2023-10-21T16:04:56Z,0
41,Malla Othman,Love you Taylor ,2023-10-21T15:25:22Z,0
42,Eddie Palencia,love it,2023-10-21T15:24:49Z,0
43,Janaína Silva,Where is the  videoclipe de cruel summer?,2023-10-21T15:16:37Z,0
44,Jon2322,Nice remix! Motivating and chaotic just like this cruel summer in Singapore ❤,2023-10-21T14:55:30Z,0
45,Stacie Burger,Taylor reputation tv next?,2023-10-21T14:52:26Z,0
46,Al4n,"Taylor, I love you very much, but..... What is this?",2023-10-21T14:27:40Z,0
47,Belu_Stone,Queesesooo,2023-10-21T14:03:44Z,0
48,Marti :),🇺🇾🇺🇾🇺🇾🇺🇾💗🇺🇾💗💗🇺🇾💗🇺🇾💗🇺🇾💗🇺🇾,2023-10-21T13:38:10Z,0
49,Marti :),Love you Taylor,2023-10-21T13:37:59Z,0
50,Officially_brwejah🌈💗,OMG I WENT TO THE TOUR❤,2023-10-21T13:28:25Z,0
51,Millus Umali,OMG! Is this Taal Lake from the philippines? Filo swifties never heard that before😭,2023-10-21T13:19:43Z,0
52,Miriam Rosborough,Love you Taylor!❤,2023-10-21T12:56:46Z,0
53,MelanieMels11,I wake up to these videos every day and I think it's a music video 😢,2023-10-21T12:47:11Z,0
54,Amy D,I LOVE the original song. But this disco beat ruins it 😭😭😭,2023-10-21T12:43:42Z,0
55,Jieson Genilla,Cruel Summer MV shot in the Tagaytay Philippines,2023-10-21T12:33:18Z,0
56,ilenia♡︎,music video when??,2023-10-21T12:09:48Z,0
57,TAYLORSVERSION,MV???,2023-10-21T11:47:36Z,0
58,"Liz fam bracelets, making",This one was really fast,2023-10-21T11:43:21Z,0
59,Adriana Díaz,Taylor que hiciste,2023-10-21T11:22:12Z,0
60,Jenn,"Hey, ¡rubia te amo!",2023-10-21T10:44:45Z,0
61,Rajan Ponnusamy,<3,2023-10-21T10:39:42Z,0
62,RANNY.13,❤🇧🇷🎵🎵🎵🎵( ﾟ∀ﾟ)人(ﾟ∀ﾟ ),2023-10-21T10:27:30Z,0
63,Diwakar,🔥,2023-10-21T10:22:50Z,0
64,jancaaz,"Taylor, i love you.. but what in the CRUEL summer is this??????",2023-10-21T10:21:27Z,0
65,Marie De erit,Getaway car MV when?,2023-10-21T09:56:39Z,0
66,Paigestein.2009,Tayayayayyayayyaya,2023-10-21T09:40:40Z,0
67,Amber Choo,"i am so lucky to be born in an era where i get to experience taylor swift, her eras tour, her film, her releasing her old and new albums, and every other exciting things. i cant imagine when taylor is gone one day. her music and greatness will live on.",2023-10-21T09:32:30Z,0
68,Swiftie,"TAYLOR SWIFT -  100%
CRUEL SUMMER - 100%
(LP GIOBBI REMIX) - 100%
VISUAL -  100%
VOCALS -  100%
CHORUS -  100%
LYRICS -  100%
PRODUCTION -  100%
INSTRUMENTAL -  100%
TALENT -  100%
INFLUENCE -  100%
STYLE -  100%
BEAUTY -  100% 
QUEEN -  100%
SLAY METER - BROKEN",2023-10-21T09:20:05Z,0
69,Maria Crețu,"This is a downgrade from the original, especially because of the high speed. It's like listening to the original at 3.5x speed, with some added effects. It sounds like a quick improv.",2023-10-21T15:57:47Z,0
70,Maryam Nasiri,For your kind and compassionate heart ❤️ You’re a fantastic woman very successful and lovely 🥰 Thank you for your being MY kind beautiful 🤩 ❤😊,2023-10-21T08:54:47Z,0
71,Federica Minozzi,Sounds like listening to my WhatsApp vocale messages at 1.5x Speed 😂,2023-10-21T08:19:32Z,0
72,Theodore,oh honey..,2023-10-21T07:22:59Z,0
73,lama.,🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸,2023-10-21T06:57:57Z,0
74,axejedi axe_jedi ROCK3T,13❤,2023-10-21T05:59:09Z,0
75,Taylor's Version,CRUEL SUMMER MUSIC VIDEO PLEEEEEASE GORJAS 🤧🥰😻,2023-10-21T05:47:43Z,0
76,The local forest dweller🥀,Taylor I love you with all my heart. But this….,2023-10-21T05:12:03Z,0
77,डाइनो सिटी चैनल,Yay,2023-10-21T05:01:04Z,0
78,Fraser,"Hey, Taylor please feel with ugly people.
It's love yeap...
Ha..ha..ha..ha..",2023-10-21T04:45:58Z,0
79,Melanie4Life_,I’m a swiftie and all but why is this so capcut,2023-10-21T04:18:38Z,0
80,Aleena Usman,It's not the eye's that are blind it's the hearts ❤️‍🩹 please stand up against inhuman acts...FREE PALESTINE 🇵🇸,2023-10-21T04:10:00Z,0
81,Nice Cris,We need an MV for cruel summer 😭😭😭,2023-10-21T04:01:26Z,0
82,angie -Taylor’s version -,cruel summer music video when?,2023-10-21T03:43:59Z,0
83,Angel,"me enamore, parece potaxie",2023-10-21T03:13:01Z,0
84,Rose Pari,Creí que era broma 😂,2023-10-21T03:09:26Z,0
85,hotpinkgirl1982,💖🤝,2023-10-21T03:07:05Z,0
86,Pedro-Pablo Vicente I,"I'm so OBSESSED with this remix, so many catchy summer vibes 🩷
#TheCruelestSummer",2023-10-21T02:59:53Z,0
87,Swiftie ★,"ESO MI HERMOSAAAAAAAAAA, SIGUE ASI!!! POR SIERTO, ¿PARA CUANDO EL MV?.",2023-10-21T02:43:50Z,0
88,Ary,"Eu te amo Taylor, mas isso... 💀",2023-10-21T02:22:36Z,0
89,Ester Choices,❤,2023-10-21T02:06:08Z,0
90,UNKNOWN- Dustinッ,Tamang vibe lang sa SB HIRAYA ❤️❤️❤️,2023-10-21T01:48:32Z,0
91,Lara Alcaraz,I don't know why some people don't like this i love it so much😍,2023-10-21T01:47:35Z,0
92,Fabi,mmeo con este remix y nosotros que criticábamos lover remix 😮,2023-10-21T01:47:35Z,0
93,ur.fav.swiftie,Only Taylor can make Cruel Summer a top charting single in the fall and 5 years after it's release!,2023-10-21T01:32:21Z,0
94,Matthew Clark,"Please do the remake of Bananarama 1984 ""Cruel Summer"" for the 40th Anniversary in 2024!!!!",2023-10-21T01:21:42Z,0
95,Nuj Nuj Lewis,Nice but a bit to fast,2023-10-21T01:20:24Z,0
96,filmedbymarco,okay…,2023-10-21T00:53:50Z,0
97,lizfern,"Taylor, ily but what is this",2023-10-21T00:26:45Z,1
98,Gustavo Dash,"I've never felt so valued, it's been a show, a film, it's cruel to be a remix and a show, an album in 7 days and next month I might release the reputation Taylor version and to end my life",2023-10-21T00:04:54Z,0
99,Alex González,Esta bien lover remix ❤😊,2023-10-20T23:46:00Z,0
100,Beatriz Vasconcelos,"OMG,  the perfect Music 🎉❤",2023-10-20T23:38:31Z,0
101,Zoey Blake,Is this a speed up,2023-10-20T23:33:06Z,0
102,Ana Alice Gonçalves,I     LOVE    YOU❤❤❤,2023-10-20T23:27:10Z,0
103,Shsh,MOTHER IS MOTHERINGGGGGGGG ONCE AGAIN 🫶🫶🫶🫶🫶🫶,2023-10-20T22:51:52Z,1
104,Shsh,October is just for the girlies,2023-10-20T22:49:55Z,1
105,Jonathan Caballero,KHEEEE,2023-10-20T22:45:15Z,0
106,Shsh,SLAYY,2023-10-20T22:42:36Z,0
107,fiumefenice,Y’all will like anything tbh,2023-10-20T22:29:20Z,0
108,Its Me Karaminaa,🍉💞,2023-10-20T22:22:24Z,0
109,Iyus Kusnadi,💞💞💞,2023-10-20T22:19:24Z,0
110,Rian Evans,Feels as if your singing to a heart bet/ how most wemons hearts do much faster then men miss taylor,2023-10-20T22:14:19Z,0
111,bibble da best,🇨 🇷 🇺 🇪 🇱  🇸 🇺 🇲 🇲 🇪 🇷,2023-10-20T22:13:22Z,0
112,MARFAMPENEWS MÚSICAS & CINEMA,👏🏻👏🏼👏🏿👏🏽👍🏽🇧🇷,2023-10-20T22:06:15Z,0
113,Денис,❤❤❤❤Taylor ❤❤❤❤,2023-10-20T21:55:34Z,0
114,choccydropkid,sitting hear listening to this on holiday on the beach! soo coool!,2023-10-20T21:19:35Z,0
115,catwi,La primera canción de Taylor que no me gusta :(,2023-10-20T20:59:59Z,1
116,BeSmrtInLife,She's making our lives better with her music,2023-10-20T20:49:19Z,0
117,AnyaAvika,I love you Taylor!! Aaaah❤😊🎉🎉🎉,2023-10-20T20:44:01Z,0
118,Im Pretty When Im Crying,Bu ne taylor çok kötüü,2023-10-20T20:04:15Z,0
119,Soy_ berr,Esto es arte si señor,2023-10-20T19:39:49Z,0
120,Gemini Leo,Why is it so sped up? 😭,2023-10-20T19:16:02Z,0
121,Aubrey,Does this mean we’re going to get a cruel summer mv,2023-10-20T19:13:08Z,0
122,D R,This remix is genius,2023-10-20T19:02:33Z,0
123,nieuwe,I love you Taylor Alison Swift kelcey since 2006 😢❤,2023-10-20T18:40:32Z,0
124,Fatima1213,"No taylorcita, esta hasta el queque este mix jajajaja pero como te amo  tengo que amarlo",2023-10-20T18:24:23Z,0
125,adrixheartz,what is this remix taylor,2023-10-20T18:00:34Z,0
126,Antonio Castillo Galan,"Cruel Summer, M'encanta Taylor Swift ❤",2023-10-20T17:41:57Z,0
127,possum,e,2023-10-20T16:57:35Z,0
128,Loredana Russo,this is totally Bop! i love how taylor never fails to impress her swiftie or non swifties,2023-10-20T16:55:34Z,0
129,alanna felton,"You are so incredible, Taylor",2023-10-20T16:38:50Z,0
130,Alexey Kuzmin,"For me, nothing will change and the gloss of celebrities and screen stars will remain behind the screen of plastic screens of gadgets.",2023-10-20T16:32:13Z,0
131,Zoey Blake,Yaaaay,2023-10-20T16:26:53Z,0
132,L.S.,Love it ❤,2023-10-20T16:26:06Z,0
133,Saba Abbasi,Ok Taylor let's talk about how did u enchant me for the last 8 years,2023-10-20T16:12:02Z,0
134,cass,taylor ily girl going to eras tour but this remix its not cute💔💔,2023-10-20T16:00:03Z,0
135,shopopollo,its wonderfull,2023-10-20T15:52:31Z,0
136,Elisa Rodrigues,❤❤❤,2023-10-20T15:10:30Z,0
137,Today Happy,You guys seem don’t like this remix version but I like this and I can hear this all day,2023-10-20T15:04:36Z,0
138,Harold,Slayyyyy mother...,2023-10-20T15:01:25Z,0
139,shan♥️ownworld..(habibi),❤❤❤❤❤❤❤❤❤❤❤🎉🎉🎉🎉,2023-10-20T14:49:26Z,0
140,Andrew Phan,Did she hear it again ?,2023-10-20T14:34:31Z,0
141,TheNaturanaut,WHERE ALL MY JUMPING SPIDER LOVERS AT?? <3,2023-10-20T14:24:42Z,0
142,C P,"Schön ! Sekt mit Martinazzi dazu schmeckt noch besser und hört sich dann auch noch besser an !;) 
Thx you both , great Remix that bring on dancing",2023-10-20T13:34:31Z,0
143,sadie,taylor.. 😭,2023-10-20T13:26:26Z,0
144,Laily Ahmad,Listening at x0.75 speed. Its really nice and crisp! Thank me later.,2023-10-20T13:23:06Z,1
145,CT,Remixes are my least fav,2023-10-20T13:01:51Z,0
146,Xaviera Nicole Reyes,Okaaay that was fast,2023-10-20T12:54:46Z,0
147,Shamiel Taylor,Why is it sped up 😡,2023-10-20T12:48:14Z,0
148,ZANDER COUTURE,La amo❤,2023-10-20T12:46:32Z,0
149,Charlie,YES QUEEN,2023-10-20T12:43:11Z,0
150,Dakamaji,Shes in Tagaytay,2023-10-20T12:37:42Z,0
151,Aziza,ITS A CRUEEEL SUMMERRR,2023-10-20T12:31:57Z,0
152,Camille Sanchez,"Worst remix ever. I wanted to like it, but I just can't.",2023-10-20T12:28:01Z,0
153,About,Mv mvmv mv Music Video music video,2023-10-20T12:19:44Z,0
154,About,325.8,2023-10-20T12:18:46Z,0
155,xxxbunnyxxx83,WE NEED A MUSIC VIDEO FOR THIS VERSION OR THE ORIGINAL,2023-10-20T12:10:46Z,0
156,Sinfonia Melody,Borrare de mis recuerdos que este remix existe 😅,2023-10-20T11:40:58Z,0
157,Kadence💕,MOTHER SLAYING AGIAN 😮😮😮,2023-10-20T11:28:56Z,0
158,Luna,تايلور وش ذا الخياس,2023-10-20T11:27:31Z,1
159,Nikolas bastiera,i hate remixes so much😂,2023-10-20T11:25:01Z,0
160,tamara machado,❤,2023-10-20T11:18:19Z,0
161,JE's Gaming Life,Cruel Summer deserves to be No. 1!!!,2023-10-20T11:00:31Z,0
162,EathanSwift,Yessss get that #1! 🩷,2023-10-20T10:42:00Z,0
163,ThatOnePotterhead,SOOO PERFECT! SLAYYY ❤❤❤,2023-10-20T10:19:03Z,0
164,Linzay Tomanan,Where's the music video,2023-10-20T10:03:35Z,0
165,tantan kinant0t ba naman,budots yern si inang naman nag papaka squatter kana😭,2023-10-20T10:01:20Z,0
166,Michael Hughes,This is indeed a cruel summer.   This is the actual song by Bananarama.  And it should never be touched.  Not by this slight bitzt!,2023-10-20T09:32:08Z,0
167,moonlight~,"WHERE MY SWIFTIES AT?!
👇🏻",2023-10-20T09:27:03Z,0
168,Vinop Joshi,🙏🏻  🙏🏻,2023-10-20T09:01:12Z,0
169,Vinop Joshi,🙏🏻  🙏🏻,2023-10-20T09:01:00Z,0
170,entertainment24hour,Just wait little bitt I'm coming one day we will perform together,2023-10-20T08:28:58Z,0
171,Haru,The best song ever,2023-10-20T08:28:04Z,0
172,Luisa (taylors version) 🫂,❤,2023-10-20T08:23:49Z,0
173,My Beauty Shopper,🔝yesss🤩,2023-10-20T08:24:11Z,0
174,Kylee Williams,Ily so much but what is this😍😍,2023-10-20T08:23:32Z,0
175,M Elli,Maybe she's planning for the MV. Hoping. 🤭,2023-10-20T08:23:11Z,0
176,Alexey Kuzmin,"I get it, you've already found your soul mate. But in a couple, it is better that the woman is younger, then she will always be young for her chosen one and he will never look the other way.",2023-10-20T08:07:12Z,0
177,Alexia Potter,2:20 why????,2023-10-20T07:56:21Z,0
178,About,Mv when???,2023-10-20T07:10:49Z,0
179,About,❤❤❤✨✨,2023-10-20T07:10:31Z,0
180,About,💗💗💗💗,2023-10-20T07:10:19Z,0
181,About,315,2023-10-20T07:10:02Z,0
182,Sir Didymus,%%%ovdsw,2023-10-20T07:04:34Z,0
183,Sir Didymus,"havstt.,",2023-10-20T07:04:07Z,0
184,Sir Didymus,vsva^^,2023-10-20T07:03:52Z,0
185,Sir Didymus,[♡],2023-10-20T07:03:20Z,0
186,Sir Didymus,~~ccwno,2023-10-20T07:03:10Z,0
187,Cristián Fernández,Beautiful,2023-10-20T06:51:40Z,0
188,happy.swiftie,my new fav song!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,2023-10-20T06:43:41Z,0
189,nik sinha,WE LOVE YOU TAY TAY!!!,2023-10-20T06:41:32Z,0
190,13-Lover-Swiftie,Love you so much Taylor ❤,2023-10-20T06:34:47Z,0
191,Larry Weysan,"It’ll be more chill if you set the playback speed to 0,75x 🫣",2023-10-20T05:53:04Z,0
192,Larry Weysan,"Set playback speed to 0,75x you may feel it a little bit beter 🫠",2023-10-20T05:51:48Z,0
193,Marko Quintos Lo mejor YOUTOBE VIP,love you,2023-10-20T05:35:12Z,0
194,Taylor Swift instrumental's ,"Oh no, Taylor Swift, all the lover remixes are from the You need to calm down remix, you don't know how to make the remix, beautiful blonde😭",2023-10-20T05:24:09Z,0
195,kevin Gonzalez Pastrana,Por el bien de Taylor hagamos que deje de hacer remixes 😢,2023-10-20T05:14:02Z,0
196,Alexey Kuzmin,"with You, touchdown master, setting these records at breakneck speed, all the best, honey",2023-10-20T04:49:51Z,0
197,winsy & livy vlogs,This feels like something a fan will post 😭,2023-10-20T04:43:01Z,0
198,GIGI HADID PAOLA,"PARA IR A LA DISCO PARTY ITS COOL 

ESTA GENIAL PARA UNA NOCHE DE FIESTA CON BUENA MUSICA 🎉💗💗🥳🥳",2023-10-20T04:30:51Z,0
199,Alexey Kuzmin,"Interestingly, it is possible that Li Hongzhi’s qigong, by rotating movements around the dantian, creates a galaxy-like mechanism that creates another celestial body from a person)",2023-10-20T04:21:32Z,0
200, A,baby its been 4 years let this song go,2023-10-20T04:09:54Z,0
201,Alex Ordóñez,WHAT THE F-,2023-10-20T04:03:33Z,0
202,Jane A,Love Taylor!!!!!!,2023-10-20T03:59:11Z,0
203,Victor Andres Acosta Castillo,esto parece afrohouse que temazo,2023-10-20T03:11:41Z,0
204,Issa B.,Its not too late for a music video of Cruel Summer 😊,2023-10-20T02:56:20Z,0
205,Sawyer Littlepage,Taylor love this remix the person that made this did an amazing job.,2023-10-20T02:48:47Z,0
206,World of my own_disney,I love this song for Taylor Swift she is awesome at singing,2023-10-20T02:28:03Z,0
207,Ashleigh David,Amazing!,2023-10-20T02:03:23Z,0
208,Vvvv Rrrr,Last 2:30 is 🎉,2023-10-20T01:58:11Z,0
209,Percy Jackson #savetheworld #stopanimaltesting,I love cruel summer but no. Just no,2023-10-20T01:56:53Z,0
210,Vvvv Rrrr,I stopped my air massage to regret listening to this,2023-10-20T01:56:07Z,0
211,D G,BBoring ..  let someone like  A.G Cook do a mix of this,2023-10-20T01:51:53Z,0
212,Emma,WHAT IS THAT MELODY🎶🎶🎶🎵🎶🎶,2023-10-20T01:43:15Z,1
213,a.m_0056 skycloud,🌼☁💙☁🌼,2023-10-20T01:40:27Z,0
214,Marianella,Nueva canción para hacer mis ejercicios 😋 tay te amooo,2023-10-20T01:39:03Z,0
215,Swiftie4life,Taylor swift is a true mastermind she finds a way to make all of her songs sound perfect I LOVE YOU TAYLOR,2023-10-20T01:19:20Z,0
216,👑Sultanas👑,😻,2023-10-20T01:16:46Z,0
217,jill aesthetics,SO SLAY,2023-10-20T01:09:45Z,0
218,~•Raphael Kempher•~,TAYLOR OQUE É ISSO?,2023-10-20T01:07:18Z,0
219,Hanna Castro,Taylor te amo pero está de la lover remix,2023-10-20T01:02:57Z,0
220,🎃Lovely🎃,Going to watch the movie tmrw!!!!!!!,2023-10-20T00:57:04Z,0
221,KANYANAT TRAKUNRUM,MV please 😂,2023-10-20T00:53:07Z,0
222,ari m,oh thats not...,2023-10-20T00:41:50Z,0
223,democracy,Probably the best Taylor Swift song I’ve heard in a while 😅,2023-10-20T00:23:16Z,0
224,Fairytale Wizard,"Way out on a surfboard in the blue ocean her lover blew kiss ..she knew this summer was cruel
However she had the key to his magic garden .at the end of a yellow brick road towards a wooden house of red  
Ther shecwould fund unconditional love .
Xx x",2023-10-20T00:18:37Z,0
225,ABBYISUNSTOPPABLE,"Love cruel summer, not this. Sorry 🫤",2023-10-20T00:15:05Z,0
226,olivia cruz,❤❤❤,2023-10-20T00:12:23Z,0
227,Mika Greco,QUEEEEEE NUNCA PENSE QUE NECESUTABA UN REMIX DE CRUEL SUMMER,2023-10-20T00:10:19Z,0
228,gabby conant,NOSOTROS AMA VOCÊ TAYLORRRR,2023-10-20T00:00:49Z,0
229,onthespacces,love u. tay!,2023-10-19T23:50:50Z,0
230,Tswizzle’s #1 swiftie,"I can't wait for the movie! im going on sunday!


SHE IS MY IDOL!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",2023-10-19T23:50:49Z,0
231,Bella Bricker 😄,I LOVE IT ❤,2023-10-19T23:50:11Z,0
232,Bobby Ma,no,2023-10-19T23:49:10Z,0
233,Vera Shishkin,LOVE THIS TAYLOR,2023-10-19T23:35:55Z,0
234,About,287.4,2023-10-19T23:25:15Z,0
235,SolidPlayz,GURLLL YOU NEEDTO MAKE A TAYLORS VERSION OF CRUEL SUMMER!!!,2023-10-19T23:23:34Z,1
236,Ava Anderson🏐,"Guys, can we just admit that Taylor Swift is the Queen of Music and 1989 TV COMING IN ALMOST A WEEK!!!!!!",2023-10-19T23:09:39Z,0
237,About,Mother,2023-10-19T23:07:03Z,0
238,About,💗💗💗,2023-10-19T23:06:55Z,0
239,About,This remix>>>,2023-10-19T23:06:42Z,0
240,About,285.7,2023-10-19T23:06:27Z,0
241,Cinnamonroll,Omg this is the best,2023-10-19T23:04:23Z,1
242,Mybp,I love her cover how it matches her!,2023-10-19T23:03:48Z,0
243,elahe,I wish I could go to the tour ugh,2023-10-19T23:03:34Z,0
244,K. U.,This sounds like a Kingdom Hearts opening song.,2023-10-19T22:53:10Z,0
245,Amy Lopez,Steam cruel summer now all of you ❤❤❤❤,2023-10-19T22:44:26Z,0
246,A. DIAZ,Number 1 coming soon 🔜,2023-10-19T22:33:55Z,0
247,Sebastian,Hubiera preferido un MV antes que este remix 😢,2023-10-19T22:32:35Z,7
248,Lololol,Taylor Swift You slayed this,2023-10-19T22:30:54Z,0
249,gominola3000,khe,2023-10-19T22:25:15Z,0
250,gominola3000,Cruel Summer versión mexicana,2023-10-19T22:24:57Z,0
251,Ronald Foley,I love you Taylor your beautiful I want to no,2023-10-19T22:16:06Z,0
252,Jessica Bibbles,Let’s gooo!!!,2023-10-19T22:15:52Z,0
253,Daniel,"#1 in Billboard Hot 100 next week, and week after. But Best Pop Dance Recording and Best Dance/Electronic Recording on the GRAMMYs 2025.",2023-10-19T22:14:06Z,0
254,Mining with Maddie and Maeve,So happy,2023-10-19T22:13:35Z,0
255,Bluecatik,this slays,2023-10-19T22:08:34Z,0
256,🌈Giovanni Dominador Big Dick🔥      ,I loooveeeeee💗💗,2023-10-19T22:06:43Z,0
257,Яа X 💜,💜💜💜,2023-10-19T22:03:21Z,0
258,Elsa,i love you tayyyyyy❤❤❤❤❤,2023-10-19T22:02:57Z,0
259,Elsa,LMAOOOO❤❤❤❤❤,2023-10-19T22:02:44Z,0
260,Liz Hughes,Can i buy this,2023-10-19T21:59:41Z,0
261,Danielson Silveira,I like it,2023-10-19T21:56:51Z,0
262,Eve The cat,"If you’re a Swifty
I know I am",2023-10-19T21:54:01Z,0
263,Carlos Eduardo,I didn’t like it… it’s a weird pitched remix… it doesn’t make me feel I’m in a trance nor in a nightclub… it simply can’t be danced too.,2023-10-19T21:52:32Z,0
264,Angie Almodovar,"QUE ES ESTO TAYLOR QJAJJAJAJAJ, TE AMO PERO😭",2023-10-19T21:45:00Z,0
265,That Prxppy Fairy,CRUEL SUMMER NEEDS A MUSIC VIDEO,2023-10-19T21:27:45Z,0
266,Carly Norton,Cruel summer music video? maybe?? Hopefully? Probably?? DEFIANTLY!!!!,2023-10-19T21:20:44Z,0
267,Hector Edahi,Speed UP or remix?,2023-10-19T21:17:19Z,1
268,Jose_30🏀,Taylor I love you,2023-10-19T21:14:17Z,0
269,ѕσρн 💓,TAYLOR TAYLOR TAYLOR TAYLOR TAYLOR!!🗣️🗣️,2023-10-19T21:11:52Z,0
270,Mikayla Durkee,This one makes my brain tingle,2023-10-19T21:03:06Z,0
271,María José Torres Suazo,"suena a los videos de tik tok con las canciones en rápido, sigo pensando que los remix no son su fuerte",2023-10-19T21:00:18Z,1
272,Fabi,y le tirabamos hate a lover remix,2023-10-19T20:50:08Z,1
273,Forda comment,Sa Taal Lake ba to? 😅,2023-10-19T20:46:57Z,0
274,Angeles Vidallet,TAYLOR TE AMOOOO,2023-10-19T20:45:14Z,0
275,Maram jh,PROUD of u tay tay ! And i love uu,2023-10-19T20:37:20Z,0
276,Mai,LOVING U SM!!!! 🩷🩷🩷🩷⭐️⭐️,2023-10-19T20:32:56Z,0
277,Alexey Kuzmin,"Wow, so beautiful 🌹🌹🌹",2023-10-19T20:21:22Z,0
278,Mohadeseh Ahmadzade,coooooooooooool,2023-10-19T20:21:13Z,0
279,Heather Astbury,Love you,2023-10-19T20:17:16Z,0
